timestamp,symbol,price
2025-03-16 11:12:19.700,BTC-USDT,83123.9
2025-03-16 11:12:38.496,BTC-USDT,83154.9
2025-03-16 11:12:54.779,BTC-USDT,83198.0
2025-03-16 11:13:08.981,BTC-USDT,83154.8
2025-03-16 11:13:28.985,BTC-USDT,83113.2
2025-03-16 11:13:45.831,BTC-USDT,83110.0
2025-03-16 11:14:04.378,BTC-USDT,83165.6
2025-03-16 11:14:18.886,BTC-USDT,83213.2
2025-03-16 11:14:32.569,BTC-USDT,83211.0
2025-03-16 11:14:56.416,BTC-USDT,83254.6
2025-03-16 11:15:13.209,BTC-USDT,83175.3
2025-03-16 11:15:26.254,BTC-USDT,83114.2
2025-03-16 11:15:46.575,BTC-USDT,83098.1
2025-03-16 11:16:04.900,BTC-USDT,83128.1
2025-03-16 11:16:22.043,BTC-USDT,83071.5
2025-03-16 11:16:38.734,BTC-USDT,83073.7
2025-03-16 11:16:55.753,BTC-USDT,83057.9
2025-03-16 11:17:12.946,BTC-USDT,82951.6
2025-03-16 11:17:30.045,BTC-USDT,82839.0
2025-03-16 11:17:46.220,BTC-USDT,82873.1
2025-03-16 11:18:03.723,BTC-USDT,82856.4
2025-03-16 11:18:21.086,BTC-USDT,82795.8
2025-03-16 11:18:37.582,BTC-USDT,82849.8
2025-03-16 11:18:54.658,BTC-USDT,82841.1
2025-03-16 11:19:12.221,BTC-USDT,82845.3
2025-03-16 11:19:29.755,BTC-USDT,82875.6
2025-03-16 11:19:44.789,BTC-USDT,82890.9
2025-03-16 11:20:03.585,BTC-USDT,82973.8
2025-03-16 11:20:19.224,BTC-USDT,82896.3
2025-03-16 11:20:37.064,BTC-USDT,82832.8
2025-03-16 11:20:54.144,BTC-USDT,82802.3
2025-03-16 11:21:11.804,BTC-USDT,82799.9
2025-03-16 11:21:28.885,BTC-USDT,82776.1
2025-03-16 11:21:44.423,BTC-USDT,82751.3
2025-03-16 11:22:02.819,BTC-USDT,82756.6
2025-03-16 11:22:19.549,BTC-USDT,82771.7
2025-03-16 11:22:34.703,BTC-USDT,82745.8
2025-03-16 11:22:54.397,BTC-USDT,82710.9
2025-03-16 11:23:11.990,BTC-USDT,82721.6
2025-03-16 11:23:28.122,BTC-USDT,82712.0
2025-03-16 11:23:44.438,BTC-USDT,82742.0
2025-03-16 11:24:03.036,BTC-USDT,82755.0
2025-03-16 11:24:20.378,BTC-USDT,82772.6
2025-03-16 11:24:33.878,BTC-USDT,82742.2
2025-03-16 11:24:51.686,BTC-USDT,82817.5
2025-03-16 11:25:10.605,BTC-USDT,82866.8
2025-03-16 11:25:28.461,BTC-USDT,82869.3
2025-03-16 11:25:45.808,BTC-USDT,82880.7
2025-03-16 11:26:02.560,BTC-USDT,82900.3
2025-03-16 11:26:18.148,BTC-USDT,82845.2
2025-03-16 11:26:37.177,BTC-USDT,82792.6
2025-03-16 11:26:53.811,BTC-USDT,82813.0
2025-03-16 11:27:10.441,BTC-USDT,82819.4
2025-03-16 11:27:27.910,BTC-USDT,82846.0
2025-03-16 11:27:44.752,BTC-USDT,82854.1
2025-03-16 11:28:01.701,BTC-USDT,82789.9
2025-03-16 11:28:19.437,BTC-USDT,82802.5
2025-03-16 11:28:35.665,BTC-USDT,82825.0
2025-03-16 11:28:51.679,BTC-USDT,82823.6
2025-03-16 11:29:09.378,BTC-USDT,82837.1
2025-03-16 11:29:26.488,BTC-USDT,82826.6
2025-03-16 11:29:44.728,BTC-USDT,82836.5
2025-03-16 11:30:01.649,BTC-USDT,82850.1
2025-03-16 11:30:18.651,BTC-USDT,82779.5
2025-03-16 11:30:34.861,BTC-USDT,82777.6
2025-03-16 11:30:53.450,BTC-USDT,82790.4
2025-03-16 11:31:10.383,BTC-USDT,82783.5
2025-03-16 11:31:27.381,BTC-USDT,82769.7
2025-03-16 11:31:44.432,BTC-USDT,82781.0
2025-03-16 11:32:00.304,BTC-USDT,82778.2
2025-03-16 11:32:19.073,BTC-USDT,82719.7
2025-03-16 11:32:36.215,BTC-USDT,82727.2
2025-03-16 11:32:54.165,BTC-USDT,82664.8
2025-03-16 11:33:11.454,BTC-USDT,82722.2
2025-03-16 11:33:27.966,BTC-USDT,82683.7
2025-03-16 11:33:43.464,BTC-USDT,82737.3
2025-03-16 11:34:02.107,BTC-USDT,82708.6
2025-03-16 11:34:19.445,BTC-USDT,82709.4
2025-03-16 11:34:36.269,BTC-USDT,82727.9
2025-03-16 11:34:53.209,BTC-USDT,82721.3
2025-03-16 11:35:11.024,BTC-USDT,82713.0
2025-03-16 11:35:27.443,BTC-USDT,82703.5
2025-03-16 11:35:44.810,BTC-USDT,82699.4
2025-03-16 11:36:02.203,BTC-USDT,82614.5
2025-03-16 11:36:19.032,BTC-USDT,82614.5
2025-03-16 11:36:37.173,BTC-USDT,82603.8
2025-03-16 11:36:53.746,BTC-USDT,82620.1
2025-03-16 11:37:11.348,BTC-USDT,82583.5
2025-03-16 11:37:28.786,BTC-USDT,82554.5
2025-03-16 11:37:45.995,BTC-USDT,82601.6
